timestamp,adjusted_arousal
0,1.6666666666666667
1,1.8888888887777775
2,2.1111111112222223
3,2.3333333333333335
4,2.3333333333333335
5,2.3333333333333335
6,2.3333333333333335
7,2.7777777777777772
8,3.222222222222222
9,3.6666666666666665
10,3.222222222222222
11,2.7777777777777772
12,2.3333333333333335
13,2.3333333334444446
14,2.333333333222222
15,2.3333333333333335
16,2.3333333333333335
17,2.3333333333333335
18,2.3333333333333335
19,2.444444444444444
20,2.5555555555555554
21,2.6666666666666665
22,2.5555555555555554
23,2.444444444444444
24,2.3333333333333335
25,2.5555555555555554
26,2.7777777777777772
27,3.0
28,3.0
29,3.0
30,3.0
31,3.111111111
32,3.222222222333333
33,3.3333333333333335
34,3.222222222333333
35,3.111111111
36,3.0
37,2.8888888888888893
38,2.7777777777777772
39,2.6666666666666665
40,2.7777777777777772
41,2.8888888888888893
42,3.0
43,2.999999999888889
44,3.000000000111111
45,3.0
46,3.0
47,3.0
48,3.0
49,3.1111111111111107
50,3.222222222222222
51,3.3333333333333335
52,3.222222222333333
53,3.111111111
54,3.0
55,3.0
56,3.0
57,3.0
58,3.0
59,3.0
60,3.0
61,3.0
62,3.0
63,3.0
64,2.888888888888889
65,2.7777777777777772
66,2.6666666666666665
67,2.7777777777777772
68,2.888888888888889
69,3.0
70,2.888888888888889
71,2.7777777777777772
72,2.6666666666666665
73,2.6666666666666665
74,2.6666666666666665
75,2.6666666666666665
76,2.6666666666666665
77,2.6666666666666665
78,2.6666666666666665
79,2.6666666666666665
80,2.6666666666666665
81,2.6666666666666665
82,2.6666666666666665
83,2.6666666666666665
84,2.6666666666666665
85,2.6666666666666665
86,2.6666666666666665
87,2.6666666666666665
88,2.7777777777777772
89,2.888888888888889
90,3.0
91,3.0
92,3.0
93,3.0
94,3.0
95,3.0
96,3.0
97,3.333333333222223
98,3.666666666777777
99,4.0
100,3.7777777777777772
101,3.555555555555556
102,3.3333333333333335
103,3.222222222333333
104,3.111111111
105,3.0
106,3.0
107,3.0
108,3.0
109,3.0
110,3.0
111,3.0
112,3.0
113,3.0
114,3.0
115,3.0
116,3.0
117,3.0
118,3.111111111
119,3.222222222333333
120,3.3333333333333335
121,3.5555555556666665
122,3.777777777666667
123,4.0
124,4.0
125,4.0
126,4.0
127,4.0
128,4.0
129,4.0
130,4.0
131,4.0
132,4.0
133,4.0
134,4.0
135,4.0
136,4.0
137,4.0
138,4.0
139,4.0
140,4.0
141,4.0
142,4.0
143,4.0
144,4.0
145,4.0
146,4.0
147,4.0
148,4.0
149,4.0
150,4.0
151,4.0
152,4.0
153,4.0
154,4.0
155,4.0
156,4.0
157,4.0
158,4.0
159,4.0
160,4.0
161,4.0
162,4.0
163,4.0
164,4.0
165,4.0
166,4.0
167,4.0
168,4.0
169,4.0
170,4.0
171,4.0
172,4.0
173,4.0
174,4.0
175,4.0
176,4.0
177,4.0
178,4.0
179,4.0
180,4.0
181,4.0
182,4.0
183,4.0
184,4.0
185,4.0
186,4.0
187,4.0
188,4.0
189,4.0
190,3.888888889
191,3.777777777666667
192,3.6666666666666665
193,4.00000000011111
194,4.333333333222222
195,4.666666666666667
196,4.888888888777777
197,5.111111111222223
198,5.333333333333333
199,5.555555555444443
200,5.77777777788889
201,6.0
202,5.888888888888889
203,5.777777777777778
204,5.666666666666667
205,5.555555555666667
206,5.444444444333333
207,5.333333333333333
208,5.555555555444443
209,5.77777777788889
210,6.0
211,5.666666666777778
212,5.333333333222222
213,5.0
214,5.0
215,5.0
216,5.0
217,5.111111111111111
218,5.222222222222222
219,5.333333333333333
220,5.222222222333333
221,5.111111111
222,5.0
223,5.000000000111111
224,4.999999999888889
225,5.0
226,4.888888888888889
227,4.777777777777778
228,4.666666666666667
229,4.666666666666667
230,4.666666666666667
231,4.666666666666667
232,4.5555555556666665
233,4.4444444443333335
234,4.333333333333333
235,4.333333333333333
236,4.333333333333333
237,4.333333333333333
238,4.333333333333333
239,4.333333333333333
240,4.333333333333333
241,4.888888888777777
242,5.444444444555557
243,6.0
244,5.77777777788889
245,5.555555555444443
246,5.333333333333333
247,5.333333333333333
248,5.333333333333333
249,5.333333333333333
250,5.333333333333333
251,5.333333333333333
252,5.333333333333333
253,5.444444444444444
254,5.555555555555556
255,5.666666666666667
256,5.444444444555557
257,5.22222222211111
258,5.0
259,5.0
260,5.0
261,5.0
262,4.888888889
263,4.777777777666667
264,4.666666666666667
265,4.444444444555556
266,4.222222222111111
267,4.0
268,4.1111111110000005
269,4.222222222333333
270,4.333333333333333
271,4.222222222333333
272,4.1111111110000005
273,4.0
274,4.0
275,4.0
276,4.0
277,4.1111111110000005
278,4.222222222333333
279,4.333333333333333
280,4.333333333333333
281,4.333333333333333
282,4.333333333333333
283,4.333333333333333
284,4.333333333333333
285,4.333333333333333
286,4.222222222333333
287,4.1111111110000005
288,4.0
289,4.0
290,4.0
291,4.0
292,4.5555555556666665
293,5.111111111
294,5.666666666666667
295,5.777777777666667
296,5.888888889
297,6.0
298,6.333333333222222
299,6.666666666777778
300,7.0
301,6.555555555444443
302,6.111111111222223
