Time (s),HR_norm,HRV_norm
0.0,1.0,0.0
0.02000044445432121,0.9975019693923449,0.0016095651394079245
0.04000088890864242,0.995008585775275,0.0032156198672285857
0.06000133336296362,0.9925198448940461,0.004818167857348937
0.08000177781728483,0.9900357424939186,0.006417212783655501
0.10000222227160604,0.9875562743201601,0.008012758320034804
0.12000266672592724,0.9850814361180594,0.009604808140375268
0.14000311118024847,0.9826112236328611,0.01119336591856268
0.16000355563456967,0.980145632609824,0.0127784353284832
0.18000400008889086,0.9776846587942473,0.014360020044025739
0.2000044445432121,0.9752282979313739,0.015938123739076084
0.2200048889975333,0.9727765457664646,0.01751275008752064
0.24000533345185449,0.9703293980448122,0.019083902763247583
0.2600057779061757,0.9678868505116541,0.020651585440142763
0.28000622236049694,0.9654488989122695,0.022215801792093013
0.30000666681481813,0.9630155389919322,0.023776555492986264
0.32000711126913933,0.9605867664959133,0.025333850216709405
0.34000755572346053,0.9581625771694507,0.026887689637147983
0.36000800017778173,0.9557429667578433,0.02843807742819048
0.380008444632103,0.9533279310063315,0.029985017263722505
0.4000088890864242,0.9509174656602011,0.03152851281763168
0.4200093335407454,0.9485115664647106,0.033068567763805144
0.4400097779950666,0.9461102291651312,0.03460518577612936
0.4600102224493878,0.9437134495067272,0.036138370528491344
0.48001066690370897,0.9413212232347627,0.0376681256947781
0.5000111113580302,0.9389335460945041,0.039194454948876474
0.5200115558123514,0.9365504138312161,0.0407173619646731
0.5400120002666726,0.9341718221901761,0.04223685041605549
0.5600124447209939,0.9317977669166473,0.043752923976910524
0.580012889175315,0.9294282437558856,0.045265586321124186
0.6000133336296363,0.9270632484531738,0.0467748411225849
0.6200137780839574,0.9247027767537599,0.04828069205517814
0.6400142225382787,0.9223468244029268,0.049783142792791536
0.6600146669925999,0.9199953871459365,0.051282197009312046
0.6800151114469211,0.9176484607280442,0.052777858378626065
0.7000155559012423,0.9153060408945363,0.0542701305746214
0.7200160003555635,0.9129681233906675,0.05575901727118416
0.7400164448098847,0.910634703961703,0.057244522142201465
0.760016889264206,0.908305778352913,0.058726648861560406
0.7800173337185271,0.9059813423095696,0.06020540110314798
0.8000177781728484,0.9036613915769312,0.06168078254085061
0.8200182226271695,0.9013459219002655,0.06315279684855603
0.8400186670814908,0.8990349290248455,0.06462144770015009
0.860019111535812,0.8967284086959256,0.06608673876952059
0.8800195559901332,0.8944263566587812,0.06754867373055402
0.9000200004444544,0.8921287686586884,0.06900725625713751
0.9200204448987755,0.8898356404408969,0.07046249002315794
0.9400208893530968,0.887546967750682,0.07191437870250189
0.9600213338074179,0.8852627463332975,0.07336292596905664
0.9800217782617392,0.8829829719340294,0.07480813549670913
1.0000222227160604,0.8807076402981407,0.07625001095934655
1.0200226671703816,0.878436747170886,0.07768855603085477
1.0400231116247027,0.876170288297543,0.07912377438512146
1.060023556079024,0.8739082594233727,0.08055566969603377
1.0800240005333452,0.8716506562936397,0.08198424563747815
1.1000244449876664,0.8693974746536128,0.08340950588334138
1.1200248894419877,0.8671487102485628,0.08483145410751083
1.140025333896309,0.8649043588237575,0.08625009398387329
1.16002577835063,0.8626644161244665,0.08766542918631569
1.1800262228049514,0.8604288778959411,0.08907746338872494
1.2000266672592725,0.8581977398834546,0.09048620026498784
1.2200271117135937,0.8559709978322915,0.09189164348899156
1.2400275561679148,0.8537486474876816,0.09329379673462243
1.2600280006222362,0.8515306845949314,0.09469266367576826
1.2800284450765573,0.8493171048992699,0.09608824798631464
1.3000288895308785,0.847107904145996,0.09748055334015009
1.3200293339851998,0.8449030780803598,0.09886958341116053
1.340029778439521,0.8427026224476227,0.10025534187323272
1.3600302228938421,0.840506532993071,0.10163783240025433
1.3800306673481633,0.838314805461961,0.10301705866611192
1.4000311118024846,0.8361274355995558,0.10439302434469223
1.4200315562568058,0.8339444191511238,0.10576573310988233
1.440032000711127,0.8317657518619235,0.10713518863556891
1.4600324451654483,0.8295914294772494,0.10850139459563979
1.4800328896197694,0.8274214477423334,0.10986435466398065
1.5000333340740906,0.8252558024024739,0.11122407251447909
1.520033778528412,0.8230944892029132,0.11258055182102197
1.540034222982733,0.8209375038889289,0.11393379625749625
1.5600346674370542,0.8187848422057853,0.11528380949778871
1.5800351118913754,0.8166364998987424,0.11663059521578598
1.6000355563456967,0.8144924727130898,0.11797415708537583
1.6200360008000179,0.8123527563940628,0.11931449878044396
1.640036445254339,0.8102173466869397,0.12065162397487793
1.6600368897086604,0.8080862393370034,0.12198553634256544
1.6800373341629815,0.8059594300895082,0.12331623955739236
1.7000377786173027,0.8038369146897074,0.12464373729324528
1.720038223071624,0.8017186888828979,0.12596803322401284
1.7400386675259452,0.7996047484143186,0.12728913102357997
1.7600391119802663,0.7974950890292496,0.12860703436583476
1.7800395564345874,0.7953897064729609,0.12992174692466393
1.8000400008889088,0.7932885964907086,0.1312332723739545
1.82004044534323,0.7911917548277507,0.13254161438759238
1.840040889797551,0.7890991772293902,0.13384677663946623
1.8600413342518725,0.7870108594408587,0.1351487628034616
1.8800417787061936,0.7849267972074289,0.13644757655346554
1.9000422231605147,0.7828469862743797,0.13774322156336583
1.9200426676148359,0.780771422386974,0.1390357015070487
1.9400431120691572,0.7787001012904734,0.1403250200584008
1.9600435565234784,0.7766330187301432,0.14161118089130978
1.9800440009777995,0.7745701704512579,0.1428941876796619
2.000044445432121,0.7725115521990762,0.14417404409734486
2.020044889886442,0.7704571597188755,0.14545075381824465
2.040045334340763,0.7684069887559176,0.14672432051624923
2.0600457787950845,0.766361035055458,0.14799474786524427
